id,text_chunk,embedding
000705f0-f42d-11ee-9ae3-01bf1558124b,¿Qué sucede con la cantidad pagada por la reserva si el inquilino no justifica su decisión de no firmar el contrato de alquiler?,
00073cf0-f441-11ee-9ae3-01bf1558124b,¿Quiénes forman parte de la junta de propietarios?,
00074980-f42c-11ee-9ae3-01bf1558124b,¿Cuál es el límite de aumento de la renta en caso de subarriendo total?,
000997a0-f696-11ee-a109-493fea4b740b,a qué partido judicial pertenece sitges?,
000a56c0-f42c-11ee-9ae3-01bf1558124b,"¿Se considera cesión en casos de fusión o escisión de la sociedad arrendataria?
",
0011b450-f42d-11ee-9ae3-01bf1558124b,¿Es posible recuperar la cantidad pagada como reserva si el contrato de alquiler no se firma?,
001641d0-f696-11ee-a109-493fea4b740b,qué partidos judiciales hay?,
001770c0-f419-11ee-9ae3-01bf1558124b,¿Qué artículo de la Orden ECO/805/2003 se refiere a la documentación necesaria para la tasación de bienes inmuebles?,
001d35f0-f441-11ee-9ae3-01bf1558124b,¿Cómo toma decisiones la junta de propietarios?,
001d47e0-f43f-11ee-9ae3-01bf1558124b,¿La jurisprudencia permite utilizar la fianza para saldar las últimas rentas del contrato?,
001e0b00-f41a-11ee-9ae3-01bf1558124b,¿QUÉ ES UN INMUEBLE ANEJO?,
001e6910-f42e-11ee-9ae3-01bf1558124b,¿Cuáles se consideran entidades sometidas al régimen especial de imputación de rentas?,
00214a10-f440-11ee-9ae3-01bf1558124b,¿Cómo funciona la subrogación en un contrato de arrendamiento de vivienda?,
0021db90-f41a-11ee-9ae3-01bf1558124b,¿QUÉ ES EL ANEJO A UNA PROPIEDAD?,
00240930-f440-11ee-9ae3-01bf1558124b,¿Qué opciones tiene una persona alquilando una vivienda en caso de fallecimiento del arrendatario?,
002790d0-f42e-11ee-9ae3-01bf1558124b,¿Qué tipo de sociedades se someten al régimen especial de imputación de rentas?,
002a7820-480e-11ef-94be-93fce01c5ef4,Si un coarrendatario renuncia puede seguir el contrato para el otroo debo hacer un contrato nuevo porque cambia el sujeto?,
002e8090-f42c-11ee-9ae3-01bf1558124b,¿Cómo afecta la fusión o escisión de la sociedad al aumento de la renta del local comercial?,
003234a0-f42d-11ee-9ae3-01bf1558124b,¿Qué documento establece las condiciones y consecuencias de no proceder con la firma del contrato de alquiler tras hacer una reserva?,
003503b0-f441-11ee-9ae3-01bf1558124b,¿Qué tipo de acuerdos se requieren para que la junta de propietarios tome decisiones?,
00351570-f41a-11ee-9ae3-01bf1558124b,¿QUÉ ES EL ANEJO DE UN EDIFICIO?,
0037faa0-f696-11ee-a109-493fea4b740b,que es un partido judicial?,
0048d470-f42e-11ee-9ae3-01bf1558124b,¿Qué sociedades se someten al régimen especial del IRPF?,
00520170-3a25-11ef-bb03-5130cd4c5180,"en 2023 un cliente compró un apartamento que fue local comercial y que se cambió el uso a residencial en 2022, en el ayuntamiento no constaba que se había cambiado el uso y tampoco se le notificó a la comunidad, la propiedad consta en registro y en catastro como residencial. 1 ¿se puede sacar hipoteca sobre el mismo como residencial? ",
005334b0-f42e-11ee-9ae3-01bf1558124b,¿Qué característica deben tener las sociedades civiles para estar sujetas al régimen especial de atribución de rentas?,
005a2270-f442-11ee-9ae3-01bf1558124b,¿Cómo se lleva a cabo la reserva de una vivienda mediante el precontrato de alquiler?,
005ae5c0-f442-11ee-9ae3-01bf1558124b,¿Qué se debe considerar al firmar un precontrato de alquiler?,
00672c80-f41b-11ee-9ae3-01bf1558124b,"¿Cómo debe redactarse el contrato inicial entre el propietario y el arrendatario principal en el modelo ""Rent to Rent"" para incluir la posibilidad de subarrendamiento?",
